ward,menu_package,address,cost,cost_numeric
5,Street Resurfacing Menu (2024),ON E 66TH PL FROM S BLACKSTONE AVE (1500 E) TO S STONY ISLAND AVE (1600 E),"$63,477.51",63477.51
5,Street Resurfacing Menu (2024),ON E 72ND PL FROM S EUCLID AVE (1930 E) TO S MERRILL AVE (2130 E),"$134,783.03",134783.03
5,Street Resurfacing Menu (2024),ON S DANTE AVE FROM E 69TH ST (6900 S) TO E 70TH ST (7000 S),"$82,218.05",82218.05
5,Street Resurfacing Menu (2024),ON S EAST END AVE FROM E 70TH ST (7000 S) TO E 71ST ST (7100 S),"$54,281.74",54281.74
5,Street Resurfacing Menu (2024),ON S ELLIS AVE FROM E 53RD ST (5300 S) TO E 54TH ST (5400 S),"$47,767.63",47767.63
5,Street Resurfacing Menu (2024),ON S EUCLID AVE FROM E 69TH ST (6900 S) TO E 70TH ST (7000 S),"$46,775.45",46775.45
5,Street Resurfacing Menu (2024),ON S GREENWOOD AVE FROM E 53RD ST (5300 S) TO E 55TH ST (5500 S),"$165,172.14",165172.14
5,Street Resurfacing Menu (2024),ON S GREENWOOD AVE FROM E 74TH ST (7399 S) TO E 75TH ST (7470 S),"$50,561.01",50561.01
5,Street Resurfacing Menu (2024),ON S HARPER AVE FROM E 57TH ST (5700 S) TO E 59TH ST (5900 S),"$109,291.87",109291.87
5,Street Resurfacing Menu (2024),ON S HARPER AVE FROM E 69TH ST (6900 S) TO E 69TH PL (6930 S),"$41,063.85",41063.85
5,Street Resurfacing Menu (2024),ON S OGLESBY AVE FROM 7100 S TO E 72ND ST (7200 S),"$42,130.88",42130.88
5,Street Resurfacing Menu (2024),ON S OGLESBY AVE FROM E 68TH ST (6800 S) TO E 69TH ST (6900 S),"$54,483.27",54483.27
5,Street Resurfacing Menu (2024),ON W 65TH PL FROM S BLACKSTONE AVE (1500 E) TO S STONY ISLAND AVE (1600 E),"$41,778.57",41778.57
5,Street Speed Hump Menu (2024),5400 S RIDGEWOOD CT,"$7,320.00",7320.0
5,Street Speed Hump Menu (2024),ON S BLACKSTONE AVE FROM E 58TH ST (5800 S) TO E 59TH ST (5900 S),"$4,880.00",4880.0
5,Street Speed Hump Menu (2024),ON S HARPER AVE FROM E 56TH ST (5600 S) TO E 57TH ST (5700 S),"$7,320.00",7320.0
5,Street Speed Hump Replacement (2024),ON E 66TH PL FROM S BLACKSTONE AVE (1500 E) TO S STONY ISLAND AVE (1600 E),$0.00,0.0
5,Street Speed Hump Replacement (2024),ON E 72ND PL FROM S EUCLID AVE (1930 E) TO S MERRILL AVE (2130 E),$0.00,0.0
5,Street Speed Hump Replacement (2024),ON S DANTE AVE FROM E 69TH ST (6900 S) TO E 70TH ST (7000 S),$0.00,0.0
5,Street Speed Hump Replacement (2024),ON S HARPER AVE FROM E 57TH ST (5700 S) TO E 59TH ST (5900 S),$0.00,0.0
5,Street Speed Hump Replacement (2024),ON S HARPER AVE FROM E 69TH ST (6900 S) TO E 69TH PL (6930 S),$0.00,0.0
6,Curb & Gutter Menu (2024),ON S DREXEL AVE FROM E 73RD ST (7300 S) TO E 75TH ST (7500 S),"$13,150.84",13150.84
6,Curb & Gutter Menu (2024),ON S PRAIRIE AVE FROM E 82ND ST (8200 S) TO E 84TH ST (8400 S),"$4,373.50",4373.5
6,Miscellaneous CDOT Projects (2024),311 E 75TH ST,$660.00,660.0
6,Miscellaneous CDOT Projects (2024),532 E 79TH ST,$660.00,660.0
6,Miscellaneous CDOT Projects (2024),8216 S VINCENNES AVE,$660.00,660.0
6,Miscellaneous CDOT Projects (2024),,$660.00,660.0
6,Sidewalk Menu (2024),6931 S SOUTH CHICAGO AVE,"$5,137.72",5137.72
6,Sidewalk Menu (2024),7835 S CALUMET AVE,"$9,142.41",9142.41
6,Sidewalk Menu (2024),8101 S STEWART AVE,"$22,165.71",22165.71
6,Speed Indicator Signs (2024),ON S COTTAGE GROVE AVE FROM E 77TH ST (7700 S) TO E 78TH ST (7800 S),"$15,500.00",15500.0
6,Speed Indicator Signs (2024),ON S HALSTED ST FROM W 81ST ST (8100 S) TO W 82ND ST (8200 S),"$15,500.00",15500.0
6,Speed Indicator Signs (2024),ON S WENTWORTH AVE FROM W 71ST ST (7100 S) TO W 72ND ST (7200 S),"$15,500.00",15500.0
6,Street Bump Outs Menu (2024),S ST LAWRENCE AVE & E 75TH ST,"$15,753.91",15753.91
6,Street Cul-de-Sac Menu (2024),8800 S STATE ST,"$300,000.00",300000.0
6,Street Light Upgrade Menu (2024),7228 S WABASH AVE,$500.00,500.0
6,Street Light Upgrade Menu (2024),7938 S VERNON AVE,$500.00,500.0
6,Street Light Upgrade Menu (2024),9110 S INDIANA AVE,$500.00,500.0
6,Street Light Upgrade Menu (2024),9240 S MICHIGAN AVE; 9234 S MICHIGAN AVE,"$1,000.00",1000.0
6,Street Light Upgrade Menu (2024),E 84TH ST & S STATE ST&S WABASH AVE & E 85TH ST,$287.31,287.31
6,Street Resurfacing Menu (2024),ON E 81ST ST FROM S PERRY AVE (100 W) TO S HARVARD AVE (330 W),"$153,184.35",153184.35
6,Street Resurfacing Menu (2024),ON E 85TH ST FROM S MICHIGAN AVE (100 E) TO S WABASH AVE (50 E),"$58,919.47",58919.47
6,Street Resurfacing Menu (2024),ON E 89TH ST FROM S CALUMET AVE (340 E) TO S DR MARTIN LUTHER KING JR DR (400 E),"$46,104.02",46104.02
6,Street Resurfacing Menu (2024),ON E 91ST ST FROM S PRAIRIE AVE (300 E) TO S DR MARTIN LUTHER KING JR DR (400 E),"$94,657.42",94657.42
6,Street Resurfacing Menu (2024),ON S DREXEL AVE FROM E 73RD ST (7300 S) TO E 75TH ST (7500 S),"$164,787.66",164787.66
6,Street Resurfacing Menu (2024),ON S LANGLEY AVE FROM E 75TH ST (7500 S) TO E 76TH ST (7600 S),"$59,511.71",59511.71
6,Street Resurfacing Menu (2024),ON S VERNON AVE FROM E 72ND ST (7200 S) TO E 74TH ST (7400 S),"$117,026.83",117026.83
6,Street Speed Hump Menu (2024),ON E 69TH ST FROM S SOUTH CHICAGO AVE (600 E) TO S COTTAGE GROVE AVE (800 E),"$9,760.00",9760.0
