ward,menu_package,address,cost_numeric,cost_share,lat,lon,Tract,Block_Group,GEOID_Full
3,Street Light Upgrade Menu (2023),521 E 41ST ST,500.0,0.000333,41.820085873744,-87.612544758065,380100,1,170313801001
3,Street Light Upgrade Menu (2023),4600-4700 S Calumet Ave,500.0,0.000333,41.809135252521,-87.618334641502,381400,1,170313814001
3,Street Resurfacing Menu (2023),0-100 E 36th Pl,109098.99,0.072733,41.828818649888,-87.623283047958,351400,1,170313514001
3,Street Resurfacing Menu (2023),340-400 E 54th Pl,23033.42,0.015356,41.796843811618,-87.60510075089,410500,2,170314105002
3,Street Resurfacing Menu (2023),4500-4530 S Portland Ave,36421.55,0.024281,41.811779613774,-87.633010838603,835500,2,170318355002
3,Street Resurfacing Menu (2023),3500-3700 S Prairie Ave,156440.06,0.104293,41.827267697932,-87.620811326253,839600,2,170318396002
3,Street Resurfacing Menu (2023),3600-3630 S Wabash Ave,47102.31,0.031402,41.828471716414,-87.624911166553,351400,1,170313514001
3,Street Resurfacing Menu (2023),4800-4900 S Wabash Ave,101446.63,0.067631,41.807205277405,-87.624900018622,381400,1,170313814001
3,Street Resurfacing Menu (2023),0-40 W 15th St,35409.9,0.023607,41.862007375397,-87.628638587198,330200,2,170313302002
3,Street Speed Hump Replacement (2023),3500-3700 S Prairie Ave,0.0,0.0,41.827267697932,-87.620811326253,839600,2,170318396002
3,Street Speed Hump Replacement (2023),0-40 W 15th St,0.0,0.0,41.862007375397,-87.628638587198,330200,2,170313302002
3,,3715 S INDIANA AVE,15373.0,0.010249,41.826381018304,-87.621506018388,839600,2,170318396002
3,,447 E 42ND PL,150.0,0.0001,41.817329987799,-87.614682730108,380200,1,170313802001
3,,5036 S PRINCETON AVE,150.0,0.0001,41.802478512657,-87.633536564016,835600,1,170318356001
3,,300 E 50TH ST,6652.56,0.004435,41.803952786206,-87.619841382161,381800,1,170313818001
3,,E 50TH ST & S PRAIRIE AVE,6652.56,0.004435,41.803898993788,-87.619435017751,381800,1,170313818001
3,,1443 S CLARK ST,7479.86,0.004987,41.862684130605,-87.629956234074,330200,2,170313302002
3,,1446 S CLARK ST,7479.86,0.004987,41.862292360969,-87.630336197146,330200,2,170313302002
3,,1211-1400 S Plymouth Ct,29955.78,0.019971,41.867062962552,-87.628238027742,330200,2,170313302002
3,,4628 S CALUMET AVE,500.0,0.000333,41.810237975703,-87.618456346737,381400,1,170313814001
4,Alley Resurfacing Menu (2023),E 37TH ST & S ELLIS AVE & S LAKE PARK AVE & E 37TH ST,13857.71,0.009242,41.828651005322,-87.606282973479,836500,2,170318365002
4,Alley Resurfacing Menu (2023),E 41ST PL & S BERKELEY AVE & S LAKE PARK AVE & E 42ND PL,46626.52,0.031095,41.818040898916,-87.599629586376,836400,1,170318364001
4,Alley Resurfacing Menu (2023),E 42ND ST & S COTTAGE GROVE AVE & S DREXEL BLVD & E BOWEN AVE,11216.88,0.00748,41.81865001182,-87.606743978153,380100,1,170313801001
4,Alley Resurfacing Menu (2023),S EVANS AVE & E 46TH ST & E 47TH ST & S COTTAGE GROVE AVE,7725.97,0.005152,41.809562310488,-87.606565862711,843600,2,170318436002
4,Alley Resurfacing Menu (2023),S LANGLEY AVE & E 42ND ST & E BOWEN AVE & S ST LAWRENCE AVE,34513.54,0.023017,41.819421607917,-87.61176088248,380100,1,170313801001
4,Alley Resurfacing Menu (2023),S LANGLEY AVE & E 47TH ST & E 48TH ST & S CHAMPLAIN AVE,59866.22,0.039924,41.809547600248,-87.608997201365,843600,2,170318436002
4,Alley Speed Hump Menu (2023),E 43RD ST & S LAKE PARK AVE & S OAKENWALD AVE & E 44TH PL,2900.0,0.001934,41.811228004196,-87.594243962129,390100,1,170313901001
4,Alley Speed Hump Menu (2023),S DORCHESTER AVE & E HYDE PARK BLVD & E 52ND ST & S BLACKSTONE AVE,362.5,0.000242,41.802452989762,-87.591862998713,390600,2,170313906002
4,Alley Speed Hump Replacement (2023),S LANGLEY AVE & E 42ND ST & E BOWEN AVE & S ST LAWRENCE AVE,0.0,0.0,41.819421607917,-87.61176088248,380100,1,170313801001
4,Concrete Alley Menu (2023),716 E BOWEN AVE,2133.42,0.001423,41.819698504088,-87.608740966585,380100,1,170313801001
4,Curb & Gutter Menu (2023),1371 E 48TH ST,48904.95,0.032614,41.807684345081,-87.59227614272,390600,1,170313906001
4,Curb & Gutter Menu (2023),3137 S GILES AVE,70837.26,0.047241,41.837282353936,-87.619142656969,842000,1,170318420001
4,Curb & Gutter Menu (2023),3337 S PRAIRIE AVE,42332.49,0.028231,41.833574158062,-87.620290055694,839500,1,170318395001
4,Curb & Gutter Menu (2023),1178-900 S Plymouth Ct,83537.87,0.05571,41.867894070161,-87.629224745384,839000,2,170318390002
4,Dog Friendly Area: 4954 S. St. Lawrence Ave,4954 S ST LAWRENCE AVE,250000.0,0.166722,41.805197979233,-87.611633980466,381900,1,170313819001
4,Kenwood Gardens 4131-4149 S. Drexel Blvd.,4131-4149 S DREXEL BLVD,150000.0,0.100033,41.818558355709,-87.603909972871,836400,3,170318364003
4,Miscellaneous CDOT Projects (2023),4043 S DREXEL BLVD,150.0,0.0001,41.820392735219,-87.604204764405,836400,3,170318364003
4,Miscellaneous CDOT Projects (2023),4232 S COTTAGE GROVE AVE,150.0,0.0001,41.817564136264,-87.607051677819,380100,1,170313801001
