ward,menu_package,address,cost,cost_numeric
5,Street Speed Hump Replacement (2025),ON S UNIVERSITY AVE FROM E 71ST ST (7100 S) TO E 73RD ST (7300 S),$0.00,0.0
6,Academy Miscellaneous CDOT Projects (2025),401 E 75TH ST,$660.00,660.0
6,Floodlight Menu (2025),S VINCENNES AVE & W 70TH ST,"$2,300.00",2300.0
6,Floor repairs for Neil Elementary School,8555 S MICHIGAN AVE,"$12,500.00",12500.0
6,Improvements to Hamilton Park tech center,513 W 72ND ST,"$50,000.00",50000.0
6,Improvements to Tuley Park - outdoor plaza and senior,501 E 90TH PL,"$50,000.00",50000.0
6,Improvements to Tuley Park for miniature soccer field,501 E 90TH ST,"$250,000.00",250000.0
6,Miscellaneous CDOT Projects (2025),615 W MARQUETTE RD,$660.00,660.0
6,New lockers for Lenart School,8101 S LA SALLE ST,"$50,000.00",50000.0
6,Pavement Markings Menu (2025),S VINCENNES AVE & W 83RD ST; W 83RD ST & S STEWART AVE,"$3,200.00",3200.0
6,Projector screen for Manor Park School,7037 S RHODES AVE,"$30,000.00",30000.0
6,seating area Installation of a structure and locker room at Simeon Career,8147 S VINCENNES AVE,"$300,000.00",300000.0
6,Street Cul-de-Sac Menu (2025),ON S DR MARTIN LUTHER KING JR DR FROM E 81ST ST (8100 S) TO E 85TH ST (8500 S),"$250,000.00",250000.0
6,Street Light Pole Painting Menu (2025),ON S VINCENNES AVE FROM 6900 S TO W 71ST ST (7100 S),"$12,600.00",12600.0
6,Street Speed Hump Menu (2025),ON E 74TH ST FROM S DR MARTIN LUTHER KING JR DR (400 E) TO S COTTAGE GROVE AVE (800 E),"$19,520.00",19520.0
